"MPTO";"PICNO";"POSTNO";"CONT";"DATE";"LATI";"LONGIT";"CAPT";"ADRS";"WRITER";"SRTNO"
3;12;16;"";"";0.0;0.0;"";"";"";0
4;0;16;"";"";0.0;0.0;"";"";"";0
5;0;16;"";"2016-03-22";0.0;0.0;"";"";"";0
6;0;16;"";"";0.0;0.0;"";"이탈리아 Rione";"";0
7;0;17;"";"";0.0;0.0;"";"";"";0
8;0;17;"";"";0.0;0.0;"";"";"";0
9;0;17;"";"2016-03-22";0.0;0.0;"";"";"";0
10;0;17;"";"2016-03-22";0.0;0.0;"";"";"";0
11;0;17;"";"";0.0;0.0;"";"이탈리아 Rione";"";0
12;0;17;"";"";0.0;0.0;"";"이탈리아 Rione";"";0
13;13;18;"";"";0.0;0.0;"";"";"";0
14;0;18;"";"";0.0;0.0;"";"";"";0
15;0;18;"";"2016-06-24";0.0;0.0;"";"";"";0
16;0;18;"";"";0.0;0.0;"";"프랑스 파리";"";0
17;14;19;"";"";0.0;0.0;"";"";"";0
18;0;19;"";"";0.0;0.0;"";"";"";0
19;0;19;"";"2016-06-22";0.0;0.0;"";"";"";0
20;0;19;"";"";0.0;0.0;"";"프랑스 Charles";"";0
21;0;20;"";"";0.0;0.0;"";"";"";0
22;0;20;"";"";0.0;0.0;"";"";"";0
23;0;20;"";"2016-06-22";0.0;0.0;"";"";"";0
24;0;20;"";"2016-06-22";0.0;0.0;"";"";"";0
25;0;20;"";"";0.0;0.0;"";"프랑스 Charles";"";0
26;0;20;"";"";0.0;0.0;"";"프랑스 Charles";"";0
27;15;21;"";"";0.0;0.0;"";"";"";0
28;0;21;"";"";0.0;0.0;"";"";"";0
29;0;21;"";"2016-03-21";0.0;0.0;"";"";"";0
30;0;21;"";"";0.0;0.0;"";"이탈리아 Rione";"";0
31;16;22;"";"";0.0;0.0;"";"";"";0
32;0;22;"";"";0.0;0.0;"";"";"";0
33;17;23;"";"";0.0;0.0;"";"";"";0
34;0;23;"";"";0.0;0.0;"";"";"";0
35;0;23;"";"2016-03-19";0.0;0.0;"";"";"";0
36;0;23;"";"";0.0;0.0;"";"영국 에든버러";"";0
52;22;30;"";"";0.0;0.0;"";"";"";0
53;0;30;"";"";0.0;0.0;"";"";"";0
54;0;30;"";"2016-08-09";0.0;0.0;"";"";"";0
